year,suburb,res_type,seat_indoor,seat_outdoor,all_seat
2010,Carlton,Takeaway Food Services,284.0,233.0,517.0
2010,Docklands,Cafes and Restaurants,10586.0,2888.0,13474.0
2010,Docklands,"Pubs, Taverns and Bars",604.0,361.0,965.0
2010,Docklands,Takeaway Food Services,199.0,72.0,271.0
2010,East Melbourne,Cafes and Restaurants,5272.0,789.0,6061.0
2010,East Melbourne,Takeaway Food Services,87.0,37.0,124.0
2010,Kensington,Cafes and Restaurants,365.0,163.0,528.0
2010,Kensington,"Pubs, Taverns and Bars",290.0,62.0,352.0
2010,Kensington,Takeaway Food Services,121.0,2.0,123.0
2010,Melbourne (CBD),Cafes and Restaurants,52244.0,11041.0,63285.0
2010,Melbourne (CBD),"Pubs, Taverns and Bars",9160.0,875.0,10035.0
2010,Melbourne (CBD),Takeaway Food Services,2586.0,1268.0,3854.0
2010,Melbourne (Remainder),Cafes and Restaurants,1858.0,1644.0,3502.0
2010,Melbourne (Remainder),Takeaway Food Services,23.0,34.0,57.0
2010,North Melbourne,Cafes and Restaurants,2150.0,496.0,2646.0
2010,North Melbourne,"Pubs, Taverns and Bars",1140.0,196.0,1336.0
2010,North Melbourne,Takeaway Food Services,232.0,86.0,318.0
2010,Parkville,Cafes and Restaurants,992.0,865.0,1857.0
2010,Parkville,"Pubs, Taverns and Bars",298.0,100.0,398.0
2010,Parkville,Takeaway Food Services,44.0,46.0,90.0
2010,Port Melbourne,Cafes and Restaurants,613.0,275.0,888.0
2010,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2010,South Yarra,Cafes and Restaurants,586.0,79.0,665.0
2010,Southbank,Cafes and Restaurants,6517.0,2120.0,8637.0
2010,Southbank,"Pubs, Taverns and Bars",412.0,98.0,510.0
2010,Southbank,Takeaway Food Services,95.0,70.0,165.0
2010,West Melbourne,Cafes and Restaurants,1374.0,270.0,1644.0
2010,West Melbourne,"Pubs, Taverns and Bars",1231.0,88.0,1319.0
2010,West Melbourne,Takeaway Food Services,122.0,48.0,170.0
2011,Carlton,Cafes and Restaurants,10395.0,3056.0,13451.0
2011,Carlton,"Pubs, Taverns and Bars",1010.0,123.0,1133.0
2011,Carlton,Takeaway Food Services,284.0,233.0,517.0
2011,Docklands,Cafes and Restaurants,10586.0,2888.0,13474.0
2011,Docklands,"Pubs, Taverns and Bars",604.0,361.0,965.0
2011,Docklands,Takeaway Food Services,199.0,72.0,271.0
2011,East Melbourne,Cafes and Restaurants,5272.0,789.0,6061.0
2011,East Melbourne,Takeaway Food Services,87.0,37.0,124.0
2011,Kensington,Cafes and Restaurants,486.0,199.0,685.0
2011,Kensington,"Pubs, Taverns and Bars",290.0,62.0,352.0
2011,Kensington,Takeaway Food Services,148.0,24.0,172.0
2011,Melbourne (CBD),Cafes and Restaurants,54969.0,11805.0,66774.0
2011,Melbourne (CBD),"Pubs, Taverns and Bars",9380.0,855.0,10235.0
2011,Melbourne (CBD),Takeaway Food Services,2658.0,1313.0,3971.0
2011,Melbourne (Remainder),Cafes and Restaurants,1858.0,1644.0,3502.0
2011,Melbourne (Remainder),Takeaway Food Services,23.0,34.0,57.0
2011,North Melbourne,Cafes and Restaurants,2150.0,496.0,2646.0
2011,North Melbourne,"Pubs, Taverns and Bars",1140.0,196.0,1336.0
2011,North Melbourne,Takeaway Food Services,232.0,86.0,318.0
2011,Parkville,Cafes and Restaurants,992.0,865.0,1857.0
2011,Parkville,"Pubs, Taverns and Bars",298.0,100.0,398.0
2011,Parkville,Takeaway Food Services,44.0,46.0,90.0
2011,Port Melbourne,Cafes and Restaurants,613.0,275.0,888.0
2011,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2011,South Yarra,Cafes and Restaurants,573.0,112.0,685.0
2011,Southbank,Cafes and Restaurants,9201.0,2583.0,11784.0
2011,Southbank,"Pubs, Taverns and Bars",375.0,60.0,435.0
2011,Southbank,Takeaway Food Services,123.0,41.0,164.0
2011,West Melbourne,Cafes and Restaurants,1374.0,270.0,1644.0
2011,West Melbourne,"Pubs, Taverns and Bars",1231.0,88.0,1319.0
2011,West Melbourne,Takeaway Food Services,122.0,48.0,170.0
2012,Carlton,Cafes and Restaurants,10269.0,3090.0,13359.0
2012,Carlton,"Pubs, Taverns and Bars",986.0,281.0,1267.0
2012,Carlton,Takeaway Food Services,240.0,196.0,436.0
2012,Docklands,Cafes and Restaurants,11978.0,3587.0,15565.0
2012,Docklands,"Pubs, Taverns and Bars",724.0,447.0,1171.0
2012,Docklands,Takeaway Food Services,144.0,74.0,218.0
2012,East Melbourne,Cafes and Restaurants,5361.0,849.0,6210.0
2012,East Melbourne,Takeaway Food Services,67.0,28.0,95.0
2012,Kensington,Cafes and Restaurants,486.0,199.0,685.0
2012,Kensington,"Pubs, Taverns and Bars",290.0,62.0,352.0
2012,Kensington,Takeaway Food Services,148.0,24.0,172.0
2012,Melbourne (CBD),Cafes and Restaurants,56384.0,12282.0,68666.0
2012,Melbourne (CBD),"Pubs, Taverns and Bars",9346.0,1053.0,10399.0
2012,Melbourne (CBD),Takeaway Food Services,2455.0,1088.0,3543.0
2012,Melbourne (Remainder),Cafes and Restaurants,1858.0,1644.0,3502.0
2012,Melbourne (Remainder),Takeaway Food Services,23.0,34.0,57.0
2012,North Melbourne,Cafes and Restaurants,2303.0,500.0,2803.0
2012,North Melbourne,"Pubs, Taverns and Bars",985.0,163.0,1148.0
2012,North Melbourne,Takeaway Food Services,259.0,99.0,358.0
2012,Parkville,Cafes and Restaurants,1122.0,819.0,1941.0
2012,Parkville,"Pubs, Taverns and Bars",180.0,100.0,280.0
2012,Parkville,Takeaway Food Services,46.0,45.0,91.0
2012,Port Melbourne,Cafes and Restaurants,613.0,275.0,888.0
2012,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2012,South Yarra,Cafes and Restaurants,573.0,112.0,685.0
2012,Southbank,Cafes and Restaurants,9201.0,2583.0,11784.0
2012,Southbank,"Pubs, Taverns and Bars",375.0,60.0,435.0
2012,Southbank,Takeaway Food Services,123.0,41.0,164.0
2012,West Melbourne,Cafes and Restaurants,1439.0,333.0,1772.0
2012,West Melbourne,"Pubs, Taverns and Bars",1094.0,100.0,1194.0
2012,West Melbourne,Takeaway Food Services,100.0,47.0,147.0
2013,Carlton,Cafes and Restaurants,10269.0,3090.0,13359.0
2013,Carlton,"Pubs, Taverns and Bars",986.0,281.0,1267.0
2013,Carlton,Takeaway Food Services,240.0,196.0,436.0
2013,Docklands,Cafes and Restaurants,11978.0,3587.0,15565.0
2013,Docklands,"Pubs, Taverns and Bars",724.0,447.0,1171.0
2013,Docklands,Takeaway Food Services,144.0,74.0,218.0
2013,East Melbourne,Cafes and Restaurants,5361.0,849.0,6210.0
2013,East Melbourne,Takeaway Food Services,67.0,28.0,95.0
2013,Kensington,Cafes and Restaurants,741.0,275.0,1016.0
2013,Kensington,"Pubs, Taverns and Bars",375.0,143.0,518.0
